id,age_of_acquisition,word,concept
945,7.38,dart,DARTS [2587]
946,7.37,nostril,NOSTRIL [1178]
947,7.37,fireplace,FIREPLACE [185]
948,7.37,dew,DEW [1977]
949,7.37,interest,INTEREST [2062]
950,7.37,starlight,STARLIGHT [2836]
951,7.37,plain,PLAIN [652]
952,7.35,raft,RAFT [1664]
953,7.35,notice,NOTICE (SOMETHING) [2893]
954,7.35,oak,OAK [644]
955,7.35,price,PRICE [657]
956,7.35,spine,SPINE [805]
957,7.33,oil,OIL (ORGANIC SUBSTANCE) [1484]
958,7.33,similar,SIMILAR [1558]
959,7.33,mole,MOLE [1907]
960,7.33,folksong,FOLK SONG [2059]
961,7.33,chat,CHAT (WITH SOMEBODY) [2903]
962,7.33,preach,PREACH [304]
963,7.32,sense,SENSE (PERCEIVE BY SENSES) [2572]
964,7.32,harmonica,HARMONICA [2590]
965,7.32,wristwatch,WRISTWATCH [3349]
966,7.32,iron,IRON [621]
967,7.3,fin,FIN [213]
968,7.3,belief,BELIEF (RELIGIOUS) [3333]
969,7.29,udder,UDDER [154]
970,7.28,bolt,BOLT (OF LIGHTNING) [2007]
971,7.28,rob,ROB (VERB) [2073]
972,7.28,hornet,HORNET [3261]
973,7.28,funeral,FUNERAL [3336]
974,7.28,complain,COMPLAIN [3642]
975,7.28,pistol,PISTOL [3881]
976,7.27676,cliff,CLIFF [992]
977,7.26,fasten,FASTEN [1094]
978,7.26,bald,BALD [1125]
979,7.26,sweat,SWEAT (SUBSTANCE) [125]
980,7.26,enemy,ENEMY [1358]
981,7.26,lovely,LOVELY [2233]
982,7.26,stem,PLANT STEM [2628]
983,7.26,inhale,INHALE [2705]
984,7.26,aluminum,ALUMINIUM [3385]
985,7.26,wrinkled,WRINKLED [380]
986,7.26,forefinger,FOREFINGER [577]
987,7.26,fame,FAME [865]
988,7.25,wart,WART [2665]
989,7.25,weasel,WEASEL [3384]
990,7.25,leather,LEATHER [629]
991,7.223475,beside,BESIDE [1816]
992,7.22,handkerchief,HANDKERCHIEF [1020]
